region,State,value_avg
alabama,alabama,0.012483194144986456
alaska,alaska,0.04646778844723305
arizona,arizona,0.012118045005295359
arkansas,arkansas,0.022295119769032694
california,california,0.020518742230453992
colorado,colorado,0.01748684206593419
connecticut,connecticut,0.004195769803120189
delaware,delaware,0.009141897768357964
district of columbia,district of columbia,0.0012918119402507689
florida,florida,0.00824691277965249
georgia,georgia,0.009295656100840821
hawaii,hawaii,0.011195243661507934
idaho,idaho,0.03937202886171851
illinois,illinois,0.010751759113612874
indiana,indiana,0.012593310302169541
iowa,iowa,0.03757835906019642
kansas,kansas,0.03122177370164612
kentucky,kentucky,0.01742013541101014
louisiana,louisiana,0.030284706867541332
maine,maine,0.02324685130947944
maryland,maryland,0.005114749158461002
massachusetts,massachusetts,0.004565239426204061
michigan,michigan,0.011029296331436176
minnesota,minnesota,0.020707085895130484
mississippi,mississippi,0.021693185596927858
missouri,missouri,0.01617071877782126
montana,montana,0.060164103124328565
nebraska,nebraska,0.042898360205669075
nevada,nevada,0.013962987813826
new hampshire,new hampshire,0.006661368844963836
new jersey,new jersey,0.0029324650559143964
new mexico,new mexico,0.03433133702959604
new york,new york,0.005495665137779505
north carolina,north carolina,0.010082774737910947
north dakota,north dakota,0.07948262552828138
ohio,ohio,0.009212322787228801
oklahoma,oklahoma,0.036206210242603246
oregon,oregon,0.026623859139642412
pennsylvania,pennsylvania,0.011990287297627557
puerto rico,puerto rico,0.013558194966102336
rhode island,rhode island,0.006588240824564558
south carolina,south carolina,0.00841104112165252
south dakota,south dakota,0.06240956243376164
tennessee,tennessee,0.008359621697828957
texas,texas,0.021843628913518973
utah,utah,0.013507097640727828
vermont,vermont,0.024121272747844213
virginia,virginia,0.008605585536056105
washington,washington,0.023168098452107246
west virginia,west virginia,0.03182001480308167
wisconsin,wisconsin,0.02039334784454374
wyoming,wyoming,0.08870106463971296
