region,State,value_avg
alabama,alabama,0.016897256022439265
alaska,alaska,0.05263118186861953
arizona,arizona,0.014790343923309997
arkansas,arkansas,0.03222928824013169
california,california,0.023582072690285758
colorado,colorado,0.024286336183876024
connecticut,connecticut,0.003946861031763017
delaware,delaware,0.010220237302728148
district of columbia,district of columbia,7.205444129462457e-4
florida,florida,0.010958421313409423
georgia,georgia,0.011454938585971372
hawaii,hawaii,0.015179355552587547
idaho,idaho,0.05489001392842093
illinois,illinois,0.010702602839938083
indiana,indiana,0.01417440753819886
iowa,iowa,0.039475335141612194
kansas,kansas,0.034530325369229065
kentucky,kentucky,0.026770269117560818
louisiana,louisiana,0.04496064882538305
maine,maine,0.02480767387540322
maryland,maryland,0.0052388810139553064
massachusetts,massachusetts,0.004015569706149285
michigan,michigan,0.012931724901109234
minnesota,minnesota,0.023372366104019427
mississippi,mississippi,0.029551495760831645
missouri,missouri,0.017452622890585173
montana,montana,0.07110795042331874
nebraska,nebraska,0.045175298208935184
nevada,nevada,0.01633420737647291
new hampshire,new hampshire,0.008086028465433728
new jersey,new jersey,0.003464465237297918
new mexico,new mexico,0.04184099616709139
new york,new york,0.006062262323267078
north carolina,north carolina,0.01364347704614835
north dakota,north dakota,0.09201230820923322
ohio,ohio,0.010353984799088093
oklahoma,oklahoma,0.049199412444018376
oregon,oregon,0.03381711374196293
pennsylvania,pennsylvania,0.013946079094034
puerto rico,puerto rico,0.013394821602017062
rhode island,rhode island,0.0043536413185755705
south carolina,south carolina,0.010488706634916828
south dakota,south dakota,0.06956791096723729
tennessee,tennessee,0.010286553264475435
texas,texas,0.031644904826369905
utah,utah,0.01986053835307683
vermont,vermont,0.02625367363089138
virginia,virginia,0.0102983445826959
washington,washington,0.02636134469799896
west virginia,west virginia,0.04961647070557454
wisconsin,wisconsin,0.024820247666627923
wyoming,wyoming,0.1201518343521731
