observation_date,State,median_income
2001-01-01,Alabama,58790
2001-01-01,Alaska,95920
2001-01-01,Arkansas,55750
2001-01-01,California,79030
2001-01-01,District of Columbia,68840
2001-01-01,Delaware,82940
2001-01-01,Hawaii,79320
2001-01-01,Idaho,63940
2001-01-01,Illinois,77200
2001-01-01,Kansas,69250
2001-01-01,Kentucky,64270
2001-01-01,Louisiana,55720
2001-01-01,Maine,61220
2001-01-01,Maryland,89510
2001-01-01,Massachusetts,87370
2001-01-01,Minnesota,88090
2001-01-01,Mississippi,50430
2001-01-01,Missouri,69120
2001-01-01,Montana,53720
2001-01-01,Nebraska,72920
2001-01-01,New Jersey,86570
2001-01-01,New York,70420
2001-01-01,North Dakota,59850
2001-01-01,Oklahoma,59540
2001-01-01,Oregon,69010
2001-01-01,Rhode Island,76450
2001-01-01,South Carolina,63100
2001-01-01,South Dakota,66330
2001-01-01,Texas,68320
2001-01-01,Utah,79160
2001-01-01,Vermont,68210
2001-01-01,Washington,71050
2001-01-01,West Virginia,49620
2001-01-01,Wyoming,66410
2002-01-01,Alabama,62100
2002-01-01,Alaska,87160
2002-01-01,Arkansas,53490
2002-01-01,California,78340
2002-01-01,District of Columbia,64520
2002-01-01,Delaware,82000
2002-01-01,Hawaii,78120
2002-01-01,Idaho,62290
2002-01-01,Illinois,70540
2002-01-01,Kansas,70390
2002-01-01,Kentucky,60710
2002-01-01,Louisiana,56160
2002-01-01,Maine,60860
2002-01-01,Maryland,93160
2002-01-01,Massachusetts,82340
2002-01-01,Minnesota,90210
2002-01-01,Mississippi,51000
2002-01-01,Missouri,70650
2002-01-01,Montana,57530
2002-01-01,Nebraska,70680
2002-01-01,New Jersey,90120
2002-01-01,New York,69310
2002-01-01,North Dakota,59780
2002-01-01,Oklahoma,60210
2002-01-01,Oregon,69040
2002-01-01,Rhode Island,70050
2002-01-01,South Carolina,62450
2002-01-01,South Dakota,62550
2002-01-01,Texas,66310
2002-01-01,Utah,79040
2002-01-01,Vermont,71010
2002-01-01,Washington,74620
2002-01-01,West Virginia,48490
2002-01-01,Wyoming,65670
2003-01-01,Alabama,60270
2003-01-01,Alaska,83860
2003-01-01,Arkansas,51770
2003-01-01,California,79760
2003-01-01,District of Columbia,72870
2003-01-01,Delaware,79300
2003-01-01,Hawaii,83860
2003-01-01,Idaho,68550
2003-01-01,Illinois,73050
2003-01-01,Kansas,71560
2003-01-01,Kentucky,59760
2003-01-01,Louisiana,54210
2003-01-01,Maine,60040
2003-01-01,Maryland,84630
2003-01-01,Massachusetts,82440
2003-01-01,Minnesota,85460
2003-01-01,Mississippi,52950
2003-01-01,Missouri,70800
2003-01-01,Montana,55180
2003-01-01,Nebraska,71140
2003-01-01,New Jersey,90670
