administration,State,start_rate,end_rate,difference,percent_change,Vote,US_start,US_end,US_dif,dif_from_us
Biden,Alabama,0.033,0.031,-0.0020000000000000018,-0.06451612903225812,Republican,0.053,0.04,-0.012999999999999998,0.011
Biden,Alaska,0.064,0.046,-0.018000000000000002,-0.39130434782608703,Republican,0.053,0.04,-0.012999999999999998,-0.005
Biden,Arkansas,0.04,0.035,-0.0049999999999999975,-0.14285714285714277,Republican,0.053,0.04,-0.012999999999999998,0.008
Biden,California,0.073,0.053,-0.019999999999999997,-0.3773584905660377,Democrat,0.053,0.04,-0.012999999999999998,-0.007
Biden,Delaware,0.054,0.037,-0.017,-0.45945945945945954,Democrat,0.053,0.04,-0.012999999999999998,-0.004
Biden,District of Columbia,0.068,0.052,-0.016000000000000007,-0.3076923076923078,Democrat,0.053,0.04,-0.012999999999999998,-0.003
Biden,Hawaii,0.06,0.03,-0.03,-1,Democrat,0.053,0.04,-0.012999999999999998,-0.017
Biden,Idaho,0.036,0.037,0.0010000000000000009,0.027027027027027053,Republican,0.053,0.04,-0.012999999999999998,0.014
Biden,Illinois,0.061,0.05,-0.010999999999999996,-0.21999999999999992,Democrat,0.053,0.04,-0.012999999999999998,0.002
Biden,Kansas,0.034,0.036,0.001999999999999995,0.055555555555555414,Republican,0.053,0.04,-0.012999999999999998,0.015
Biden,Kentucky,0.045,0.051,0.005999999999999998,0.11764705882352938,Republican,0.053,0.04,-0.012999999999999998,0.019
Biden,Louisiana,0.05599999999999999,0.044,-0.01199999999999999,-0.2727272727272725,Republican,0.053,0.04,-0.012999999999999998,0.001
Biden,Maine,0.048,0.031,-0.017,-0.5483870967741936,Democrat,0.053,0.04,-0.012999999999999998,-0.004
Biden,Maryland,0.052,0.03,-0.022,-0.7333333333333333,Democrat,0.053,0.04,-0.012999999999999998,-0.009
Biden,Massachusetts,0.053,0.04,-0.012999999999999998,-0.32499999999999996,Democrat,0.053,0.04,-0.012999999999999998,0
Biden,Minnesota,0.037,0.03,-0.006999999999999999,-0.2333333333333333,Democrat,0.053,0.04,-0.012999999999999998,0.006
Biden,Mississippi,0.054,0.032,-0.022,-0.6875,Republican,0.053,0.04,-0.012999999999999998,-0.009
Biden,Missouri,0.042,0.037,-0.0050000000000000044,-0.13513513513513525,Republican,0.053,0.04,-0.012999999999999998,0.008
Biden,Montana,0.034,0.03,-0.0040000000000000036,-0.13333333333333347,Republican,0.053,0.04,-0.012999999999999998,0.009
Biden,Nebraska,0.026,0.02799999999999999,0.0019999999999999914,0.07142857142857115,Republican,0.053,0.04,-0.012999999999999998,0.015
Biden,New Jersey,0.067,0.045,-0.022000000000000006,-0.48888888888888904,Democrat,0.053,0.04,-0.012999999999999998,-0.009
Biden,New York,0.071,0.043,-0.027999999999999997,-0.6511627906976744,Democrat,0.053,0.04,-0.012999999999999998,-0.015
Biden,North Dakota,0.031,0.024,-0.006999999999999999,-0.29166666666666663,Republican,0.053,0.04,-0.012999999999999998,0.006
Biden,Oklahoma,0.04,0.033,-0.006999999999999999,-0.2121212121212121,Republican,0.053,0.04,-0.012999999999999998,0.006
Biden,Oregon,0.052,0.042,-0.009999999999999995,-0.23809523809523797,Democrat,0.053,0.04,-0.012999999999999998,0.003
Biden,Rhode Island,0.05599999999999999,0.043,-0.01299999999999999,-0.30232558139534865,Democrat,0.053,0.04,-0.012999999999999998,0
Biden,South Carolina,0.039,0.04099999999999999,0.001999999999999988,0.048780487804877766,Republican,0.053,0.04,-0.012999999999999998,0.015
Biden,South Dakota,0.025,0.018,-0.007000000000000003,-0.38888888888888906,Republican,0.053,0.04,-0.012999999999999998,0.006
Biden,Texas,0.05599999999999999,0.04099999999999999,-0.015,-0.36585365853658547,Republican,0.053,0.04,-0.012999999999999998,-0.002
Biden,Utah,0.02799999999999999,0.032,0.0040000000000000105,0.12500000000000033,Republican,0.053,0.04,-0.012999999999999998,0.017
Biden,Vermont,0.036,0.023,-0.012999999999999998,-0.5652173913043478,Democrat,0.053,0.04,-0.012999999999999998,0
Biden,Washington,0.052,0.045,-0.006999999999999999,-0.15555555555555556,Democrat,0.053,0.04,-0.012999999999999998,0.006
Biden,West Virginia,0.051,0.04099999999999999,-0.010000000000000009,-0.24390243902439054,Republican,0.053,0.04,-0.012999999999999998,0.003
Biden,Wyoming,0.045,0.032,-0.012999999999999998,-0.40624999999999994,Republican,0.053,0.04,-0.012999999999999998,0
Bush,Alabama,0.051,0.059,0.008,0.13559322033898305,Republican,0.047,0.05799999999999999,0.010999999999999989,-0.003
Bush,Alaska,0.063,0.065,0.0020000000000000018,0.030769230769230795,Republican,0.047,0.05799999999999999,0.010999999999999989,-0.009
Bush,Arkansas,0.048,0.054,0.005999999999999998,0.11111111111111108,Republican,0.047,0.05799999999999999,0.010999999999999989,-0.005
Bush,California,0.055,0.073,0.017999999999999995,0.24657534246575338,Democrat,0.047,0.05799999999999999,0.010999999999999989,0.007
Bush,Delaware,0.035,0.048,0.012999999999999998,0.27083333333333326,Democrat,0.047,0.05799999999999999,0.010999999999999989,0.002
Bush,District of Columbia,0.063,0.065,0.0020000000000000018,0.030769230769230795,Democrat,0.047,0.05799999999999999,0.010999999999999989,-0.009
Bush,Hawaii,0.043,0.04099999999999999,-0.0020000000000000087,-0.04878048780487827,Democrat,0.047,0.05799999999999999,0.010999999999999989,-0.013
