administration,State,start_PC_PI,end_PC_PI,dif_PC_PI,start_PC_DPI,end_PC_DPI,dif_PC_DPI,start_PC_PCE,end_PC_PCE,dif_PC_PCE,vote,presidental_party,US_start_PC_PI,US_end_PC_PI,US_dif_PC_PI,US_start_PC_DPI,US_end_PC_DPI,US_dif_PC_DPI,US_start_PC_PCE,US_end_PC_PCE,US_dif_PC_PCE,PC_PI_dif,PC_DPI_dif,PC_PCE_dif
Biden,Alabama,50638,57311,6673,45901,51997,6096,39421,47096,7675,Republican,Democrat,64692,73204,8512,56575,64426,7851,48539,58499,9960,-1839,-1755,-2285
Biden,Alaska,65803,76234,10431,60591,70193,9602,54144,66356,12212,Republican,Democrat,64692,73204,8512,56575,64426,7851,48539,58499,9960,1919,1751,2252
Biden,Arkansas,53353,59320,5967,48181,54137,5956,39435,46259,6824,Republican,Democrat,64692,73204,8512,56575,64426,7851,48539,58499,9960,-2545,-1895,-3136
Biden,California,77134,86232,9098,64674,73684,9010,55098,67565,12467,Democrat,Democrat,64692,73204,8512,56575,64426,7851,48539,58499,9960,586,1159,2507
Biden,Delaware,59873,68061,8188,52300,59650,7350,50912,60131,9219,Democrat,Democrat,64692,73204,8512,56575,64426,7851,48539,58499,9960,-324,-501,-741
Biden,District of Columbia,98143,111185,13042,82374,92365,9991,79360,93713,14353,Democrat,Democrat,64692,73204,8512,56575,64426,7851,48539,58499,9960,4530,2140,4393
Biden,Hawaii,61264,71019,9755,53968,62780,8812,49714,60711,10997,Democrat,Democrat,64692,73204,8512,56575,64426,7851,48539,58499,9960,1243,961,1037
Biden,Idaho,55603,62323,6720,49290,55707,6417,39884,48098,8214,Republican,Democrat,64692,73204,8512,56575,64426,7851,48539,58499,9960,-1792,-1434,-1746
Biden,Illinois,66866,74522,7656,58253,64962,6709,49605,60612,11007,Democrat,Democrat,64692,73204,8512,56575,64426,7851,48539,58499,9960,-856,-1142,1047
Biden,Kansas,59209,65856,6647,52622,58737,6115,42624,51082,8458,Republican,Democrat,64692,73204,8512,56575,64426,7851,48539,58499,9960,-1865,-1736,-1502
Biden,Kentucky,51938,58256,6318,46882,52673,5791,41211,48901,7690,Republican,Democrat,64692,73204,8512,56575,64426,7851,48539,58499,9960,-2194,-2060,-2270
Biden,Louisiana,55120,61897,6777,50444,56469,6025,42353,50454,8101,Republican,Democrat,64692,73204,8512,56575,64426,7851,48539,58499,9960,-1735,-1826,-1859
Biden,Maine,59384,68932,9548,52909,61744,8835,51884,63046,11162,Democrat,Democrat,64692,73204,8512,56575,64426,7851,48539,58499,9960,1036,984,1202
