State,Year,RGDP,RPI,RPCE,GDP,PI,DPI,PCE,RPCPI,RPCPCE,PCPI,PCDPI,PCPCE,Employ.
United States,2001,14230726,NA,NA,10581929,8990104,7752177,7073801,NA,NA,31548,27204,24823,165522200
United States,2002,14472712,NA,NA,10929108,9146700,8095517,7348940.8,NA,NA,31801,28146,25550,165095100
United States,2003,14877312,NA,NA,11456450,9474684,8472238,7740749.4,NA,NA,32659,29204,26682,165921500
United States,2004,15449757,NA,NA,12217196,10008929,8961305,8231960.2,NA,NA,34183,30605,28114,168839700
United States,2005,15987957,NA,NA,13039197,10540800,9329615,8769066.1,NA,NA,35669,31571,29674,172338400
United States,2006,16433148,NA,NA,13815583,11291446,9935978,9277235.6,NA,NA,37843,33300,31092,175868600
United States,2007,16762445,NA,NA,14474228,11925044,10434213,9746593.5,NA,NA,39588,34639,32356,179543700
United States,2008,16781485,13932319.4,11270735.8,14769862,12423410,10917599,10050083.4,45816,37063,40854,35902,33049,179213900
United States,2009,16349110,13560629.2,11123596.9,14478067,12058253,10907346,9891218.5,44204,36260,39307,35555,32243,173636700
United States,2010,16789750,13862567.5,11335603.3,15048971,12547501,11311497,10260256.2,44808,36640,40557,36562,33164,172901700
United States,2011,17052410,14331132.5,11528483.8,15599732,13299818,11848163,10698857,45957,36969,42650,37994,34309,176091700
United States,2012,17442759,14709774.5,11686117.9,16253970,13905749,12398279,11047363.2,46796,37177,44238,39442,35145,178979700
United States,2013,17812167,14682820.3,11889925.2,16880683,14063283,12387353,11388233.3,46358,37540,44402,39111,35956,182328100
United States,2014,18261714,15216230.2,12226445.7,17608138,14778160,12994137,11874450.4,47661,38296,46289,40701,37194,186239800
United States,2015,18799622,15896447.7,12638789,18295019,15467113,13527926,12297437.8,49396,39273,48062,42036,38213,190325800
United States,2016,19141672,16162029.4,12949012.2,18804913,15884741,13927450,12726848.8,49828,39923,48974,42939,39238,193425900
United States,2017,19612102,16658962,13290625.5,19612102,16658962,14611591,13290625.5,51006,40693,51006,44737,40693,196394100
United States,2018,20193896,17163074,13654925.4,20656516,17514402,15442207,13934441.7,52242,41564,53311,47004,42415,200292200
United States,2019,20715671,17727562,13948133,21539982,18349584,16153039,14437543,53683,42238,55567,48915,43720,201622200
United States,2020,20284500,18731605.3,13594721.8,21375281,19613059,17366916,14231353.2,56501,41006,59151,52377,42920,195278600
United States,2021,21532407,19641720.3,14787232.3,23725645,21484168,18788417,16119681.9,59153,44533,64692,56575,48539,202705100
United States,2022,22075931,19013960,15236191.5,26054614,22144814,18904548,17690013.4,57052,45717,66298,56598,52961,210466200
United States,2023,22723719,19404131.7,15621697.3,27811517,23577208,20744093,18833149.9,57937,46644,70002,61591,55917,216347200
United States,2024,23358435,NA,NA,29298013,24897613,21912002,19896009.2,NA,NA,73204,64426,58499,218181200
Alabama,2001,168448.3,NA,NA,123534.5,111894.1,99375,93232.7,NA,NA,25046,22243,20868,2376053
Alabama,2002,172430.4,NA,NA,128380.9,115007.7,103906.5,97220.1,NA,NA,25671,23193,21700,2364829
Alabama,2003,178040,NA,NA,135212.6,120241,109568.8,102106.6,NA,NA,26700,24330,22673,2371429
Alabama,2004,189913.7,NA,NA,148379.1,128606.3,117627.3,108428.7,NA,NA,28385,25962,23932,2425650
Alabama,2005,197246.5,NA,NA,158677.3,136087.5,123206.1,115631.1,NA,NA,29780,26961,25303,2486829
Alabama,2006,199923.9,NA,NA,166048.2,144719,130008,121487.4,NA,NA,31264,28086,26245,2545547
Alabama,2007,202025.5,NA,NA,172247,151942.6,136204.2,126916.4,NA,NA,32516,29148,27160,2604108
Alabama,2008,200967.4,199308.2,164093.5,174665.6,157780.3,141827.1,130009.5,42242,34779,33441,30060,27555,2582600
Alabama,2009,194192.1,199810.9,164430.3,170876.5,155666.9,143231,128265.5,41995,34559,32717,30104,26958,2479511
Alabama,2010,199455,199934.3,163000.8,177510.7,162068.8,148862.1,132314.4,41757,34043,33848,31090,27634,2460305
Alabama,2011,201372.8,201384.9,163835.5,182896.7,167882.2,152835.4,136772.4,41846,34043,34884,31757,28420,2497974
Alabama,2012,203675.5,201397.8,163555,188280.7,172101.5,157273.8,139950.6,41612,33793,35559,32495,28916,2503656
Alabama,2013,206962.9,201172.1,166493.3,193981.5,173720.7,157600,143956.7,41349,34221,35706,32393,29589,2523020
Alabama,2014,206070,205291.8,169501.8,197064.4,179487.1,162978.1,148385.6,42001,34679,36722,33344,30359,2552256
Alabama,2015,208950.3,215147.9,175050.6,203113.3,187474.7,169520.5,152790.5,43826,35658,38189,34531,31123,2587641
Alabama,2016,212862.8,214859.9,177257.9,208824.3,190871.8,172173.6,157806.1,43568,35943,38704,34912,31999,2619761
Alabama,2017,216615.5,220235.9,181495.6,216615.5,197963.8,179134.7,163523.4,44464,36643,39968,36166,33014,2649222
Alabama,2018,220808.8,231109.9,190026.5,226263.8,205674.2,187334.2,169460.2,46435,38180,41324,37639,34048,2692424
Alabama,2019,225272.8,235847.2,193730,234798.2,215151.8,195198.8,177059.6,47134,38717,42998,39010,35385,2712014
Alabama,2020,223025.5,252516.5,191907.5,235859,230878.4,210594.6,176055.2,50183,38138,45872,41842,34980,2670980
Alabama,2021,233951.1,266191.4,207240.1,260325,255682.3,231762.8,199043.3,52707,41035,50638,45901,39421,2769117
Alabama,2022,239846.6,256889.2,211069.8,286873.3,262425.8,232892.4,215819.9,50630,41599,51697,45879,42516,2857149
Alabama,2023,248313.7,255620.7,209835.3,309543.8,279484.6,253546.6,230469.1,50039,41076,54612,49543,45034,2931413
Alabama,2024,255629.4,NA,NA,325345.1,295590.5,268183.1,242905.3,NA,NA,57311,51997,47096,2969241
Alaska,2001,40014.4,NA,NA,28660.9,21287.1,18968.7,18123.5,NA,NA,33591,29933,28599,394565
Alaska,2002,41904.7,NA,NA,29884.5,22331.5,20293,19432.2,NA,NA,34766,31592,30252,402192
Alaska,2003,41235,NA,NA,32115.8,23372.1,21450.3,20557.2,NA,NA,36045,33081,31704,405625
Alaska,2004,42880.1,NA,NA,35389.5,24429.2,22543.5,21847.5,NA,NA,37054,34194,33138,413869
Alaska,2005,44406.8,NA,NA,40459.9,26019.6,23868,23354.8,NA,NA,39013,35787,35017,421422
Alaska,2006,47546.2,NA,NA,44951.7,27696.2,25276.3,24275.1,NA,NA,41013,37430,35947,431321
Alaska,2007,50126.7,NA,NA,49456.4,29761.3,26972.1,25617,NA,NA,43747,39647,37656,439844
Alaska,2008,49926.6,35489.4,28865.5,55246.7,32860.7,29693.1,26749.3,51624,41989,47800,43193,38911,443602
Alaska,2009,54951.9,34976.6,28761.4,50165.9,32995.4,30530.9,27166.7,50046,41153,47211,43684,38871,442505
Alaska,2010,53652,37928.9,30555.8,53654,35374.3,32703.9,28537.5,53121,42794,49543,45803,39968,443940
Alaska,2011,54045.5,39548.5,31230.3,56912.3,37870.6,34789.2,29947.6,54737,43225,52415,48150,41449,450420
Alaska,2012,57087.4,40261.6,32002.7,58320.7,38997.1,35945.3,31039.1,55069,43773,53340,49166,42455,459282
Alaska,2013,54627.6,39493.9,32394.9,57533,38565.1,35184.4,31673.2,53511,43892,52252,47672,42915,461205
Alaska,2014,53303.3,40913.7,32817.5,56587.4,40642.1,37075.5,32641.4,55466,44490,55098,50263,44251,461371
Alaska,2015,53681.1,41763.3,33095.6,51574.2,41918.6,38075.3,33274.4,56504,44777,56714,51514,45019,461707
Alaska,2016,53463.9,40448.3,33216.1,51121.8,41285.5,37704.1,33976.4,54410,44682,55536,50719,45704,457142
Alaska,2017,53550.9,40068.6,33306.8,53550.9,41919.4,38525.4,34926.8,54005,44892,56500,51925,47075,455550
Alaska,2018,52479.6,40876.8,33814.2,54762,43522.7,40309.8,36077.1,55410,45837,58997,54642,48904,454776
Alaska,2019,52377.5,41763.5,34572.5,54549.6,44459.7,40998.2,36873,56835,47049,60504,55794,50180,454794
Alaska,2020,50901.3,42869.1,33062.4,51861.7,45375.8,42058.1,35109.8,58487,45108,61903,57377,47898,430889
Alaska,2021,51764,42273,34829.2,59363,48327.1,44499.1,39764.6,57520,47392,65803,60591,54144,443016
Alaska,2022,50509.1,42764.7,36670.1,65682.5,50793.7,45988.3,43454.4,58320,50009,69160,62617,59166,454025
Alaska,2023,54183.8,42881.9,37640.6,68232.7,53322,49095.2,46417.7,58470,51323,72398,66659,63024,467104
Alaska,2024,55945.7,NA,NA,71567.2,56423.1,51952.3,49112.4,NA,NA,76234,70193,66356,474188
Arizona,2001,230885.6,NA,NA,172899.6,142097.8,124820.6,127277.9,NA,NA,26946,23670,24135,2829002
Arizona,2002,238257.1,NA,NA,180844.5,147455.2,132597,133667.9,NA,NA,27325,24572,24770,2847070
Arizona,2003,253743.1,NA,NA,194318,156408.8,141828.8,142860.7,NA,NA,28384,25739,25926,2917095
Arizona,2004,264990,NA,NA,207246.3,170443,154311.8,155367,NA,NA,30154,27300,27487,3041449
Arizona,2005,283806.2,NA,NA,227997.8,187724.9,167738.1,170011.9,NA,NA,32150,28727,29116,3219799
Arizona,2006,296424.4,NA,NA,246061.1,207762.6,184940.1,184063.5,NA,NA,34460,30674,30529,3375196
Arizona,2007,306611.6,NA,NA,261152.8,219579.1,195625.4,194363.4,NA,NA,35602,31718,31513,3465065
Arizona,2008,302277.9,244724.1,216145.7,261005.8,223495.1,201198.3,197557.7,38967,34416,35586,32036,31456,3402806
Arizona,2009,277412.4,232419.1,208707.6,244862.2,212283.6,195955.8,190868.2,36641,32903,33467,30892,30090,3228516
Arizona,2010,282252.5,237914.3,215882.4,250527,216223.6,198815.2,196474,37167,33725,33778,31059,30693,3181563
Arizona,2011,290411.3,247442.2,221402.7,261691.4,227203.3,206128.2,203580.7,38404,34362,35263,31992,31596,3239037
